id	HR	HR.95L	HR.95H	pvalue
SNX10	0.885779988806711	0.794163136620126	0.987966014022784	0.0294578051099936
PTPN7	0.860040790545299	0.749846346614124	0.986428972737827	0.0311394806401336
SOCS1	0.872976756181045	0.77770166224646	0.979923862617215	0.0212274972628912
CASP5	0.805675996507108	0.717320819632249	0.904914221896564	0.000266508725713106
PARP14	0.853007640249787	0.742610580333384	0.979816411985208	0.0245564424381113
NCKAP1L	0.872470495032539	0.774033386057616	0.983426268703172	0.0255104476948065
TNFRSF1B	0.873611105335463	0.764955641176975	0.997700157085164	0.0461584537470204
IFI35	0.845266798718958	0.739327150238252	0.966386748797677	0.0138784661058939
CCR5	0.855041110731979	0.739902387689431	0.988096961444933	0.033817997289363
IRF8	0.884641841546024	0.803299538575166	0.974220885526767	0.012750450471159
FBXO6	0.862054265140077	0.761758470223285	0.975555356579588	0.0186664842059327
BIRC3	0.901590018338476	0.820078088784261	0.991203852760679	0.0321369593136636
FERMT3	0.892052760793418	0.797633887243861	0.997648345644912	0.0453696056461667
PMAIP1	0.885293287146052	0.793601851202317	0.987578598863498	0.028960556338585
IRF4	0.864263167517382	0.760831112049358	0.981756412031058	0.024891998698915
APOL1	0.888418557168329	0.789591374262371	0.999615191412647	0.0492569518971071
LGALS9	0.891215523622462	0.795194238096213	0.998831570318243	0.0476963182621629
IL2RG	0.882852660352052	0.799790491214976	0.974541243553237	0.0134546427632859
RRM2	0.87878711122762	0.794089549772999	0.97251851139528	0.0124588329908156
LAIR2	0.844759579816182	0.75785733910551	0.941626755945239	0.00231993898728559
SLC2A3	1.14432962642568	1.03000262630459	1.27134655822547	0.0120589305549524
CKB	1.08123326291279	1.01277944922471	1.15431387329588	0.0192578933183758
IL1A	1.1355184472216	1.02761530779896	1.25475178716666	0.0126068680521988
CAPS	1.12096330450173	1.01739775974491	1.23507125704158	0.0209606945997787
SERTAD4	1.14537974833231	1.04808232007067	1.25170966322697	0.00272830686212241
C2	0.895375531853815	0.809870972094418	0.9899074922629	0.0309240251829812
CDKN1C	1.1321847693773	1.03293425028222	1.24097187372738	0.00799688351350976
PPP1R3C	1.14389818720236	1.06892844547319	1.22412596299241	0.000101366270931256
MYOM1	1.15980827790543	1.06742092199344	1.26019193907669	0.00046439156354266
ANKRD22	0.892882733046456	0.820695091152887	0.971419938496977	0.00843610724424996
HOMER2	1.10063213867941	1.00838373328138	1.20131956190133	0.0318015117168834
PFN2	1.12290588000226	1.03652716316259	1.21648294435084	0.00453370266923346
PPP1R14A	1.1888422638366	1.10733725923514	1.27634640349803	1.80893524511181e-06
COL4A5	1.14456532887706	1.05641114417882	1.24007570280393	0.000960108386349144
CCL20	0.931922797989784	0.883761191640332	0.982709027764772	0.00920842404080214
REEP1	1.12063297535395	1.03699191693893	1.21102030299104	0.00400493779543109
AHCYL2	0.89431890319599	0.816357732604594	0.979725270760763	0.0163899064410392
PSAT1	0.891738122797503	0.821241338835963	0.968286473227877	0.00639254790754288
TPM2	1.18640006636638	1.10451937878449	1.27435076695816	2.80642584400687e-06
VSNL1	0.901064624707305	0.840399193370845	0.966109277951959	0.00339513352154767
PCSK1N	1.0504884467043	1.00147077847159	1.10190531803971	0.0433579940742642
PNCK	1.11629080006291	1.04960506325589	1.18721335665021	0.000464483865838231
MAMDC2	1.15456571631155	1.07878625147602	1.23566831840703	3.33322953598791e-05
KRT7	1.09688648304187	1.04356344190295	1.15293417569896	0.00027580772610534
CRABP2	1.14932052998432	1.08286605531315	1.21985325346765	4.65467645852942e-06
PEG10	1.09313655933683	1.02600631696752	1.16465904507349	0.005888278959484
HSPB6	1.09490567518796	1.0479358491976	1.14398074889483	5.05688229980249e-05
RBPMS2	1.14183595968699	1.07626287785313	1.21140418912807	1.10493689414872e-05
PDK4	1.15633050830672	1.08305284489629	1.23456602394034	1.37063003871568e-05
BEX1	1.08375310617189	1.02440985795934	1.14653406154926	0.00512079504511021
PON3	1.07525759081361	1.00442495444887	1.15108538620158	0.0368924555269501
IGFBP2	1.080262383351	1.0140778516614	1.1507664968437	0.0166959193069631
APOD	1.11807836001967	1.06654602245601	1.17210058715101	3.5521912836153e-06
TCEAL2	1.13150552186929	1.06924861056423	1.19738733665044	1.87873328877301e-05
EEF1A2	1.06775617750627	1.01527106113074	1.12295454706749	0.0107941074315435
LMOD1	1.11814091227452	1.05961121585693	1.1799036108645	4.68664181376513e-05
FHL1	1.1269237823014	1.06404709134048	1.19351598388059	4.51760775684742e-05
MUC20	1.07667466427674	1.00826447975628	1.14972644179199	0.027405287907007
GPA33	0.919724452038263	0.871906264650408	0.97016514500701	0.00212746525769729
HSPB7	1.12527383523151	1.0662967141562	1.18751299469085	1.73133123293006e-05
RGMA	1.12009082373104	1.05433951569812	1.189942551452	0.00023848141845649
CCL25	0.957065842166285	0.916126826852561	0.999834301750969	0.0491378879581857
PGM5	1.10035984881158	1.04045142447619	1.16371775595984	0.00081313589357354
C7	1.10157690268772	1.04956285253867	1.15616865593131	8.85041001514437e-05
SYNPO2	1.10863979521044	1.05204004672249	1.16828460984286	0.000114594463522333
VSIG2	1.05490567397097	1.00589497553931	1.10630434392965	0.0276571839950377
DES	1.07992317627589	1.04310895599485	1.1180366729241	1.39306975613473e-05
FLNC	1.10795390875285	1.05133576442352	1.16762114013484	0.000127856937775152
CNN1	1.10069515802113	1.05579158873094	1.14750850813977	6.34038010187361e-06
MYH11	1.09797211822769	1.05085743668918	1.14719916357406	2.9564760636561e-05
ACTG2	1.10647529557695	1.05676911441669	1.15851945616131	1.59970836016277e-05
